Футбол. Россия. Премьер-Лига
2020-07-05;18:00:00;Слован Либерец;Славия Прага;4.3;3.7;1.8
2020-07-05;18:00:00;Спарта Прага;Яблонец;1.5;4.2;6.5
Футбол. Чехия. Кубок. Оломоуц. Финал
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-07-01;21:15:00;Слован Либерец;Спарта Прага;4.1;3.7;1.85
Футбол. Швейцария. Суперлига
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-06-30;21:30:00;Серветт Женева;Янг Бойз Берн;3.3;3.6;2.1
2020-07-01;19:15:00;Лугано;Базель;4.0;3.6;1.9
2020-07-01;21:30:00;Тун;Цюрих;2.7;3.4;2.55
2020-07-01;21:30:00;Ксамакс Невшатель;Ст. Галлен;4.3;3.6;1.85
2020-07-02;21:30:00;Сьон;Люцерн;2.7;3.5;2.55
Футбол. Англия. Чемпион-Лига
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-06-30;19:00:00;Миллуолл;Суонси;2.55;3.05;3.0
2020-06-30;20:00:00;Барнсли;Блэкберн Роверс;2.55;3.25;2.85
2020-06-30;20:00:00;Кардифф С;Чарльтон Атлетик;1.85;3.5;4.4
2020-06-30;20:00:00;Рединг;Брентфорд;4.8;3.65;1.75
2020-06-30;20:30:00;КПР;Фулхэм;3.25;3.4;2.2
2020-06-30;21:45:00;Лидс Юн;Лутон Т;1.28;5.5;10.8
2020-06-30;21:45:00;Уиган;Сток С;2.8;3.0;2.75
2020-07-01;19:00:00;Престон Норт Энд;Дерби Каунти;2.45;3.25;2.95
2020-07-01;20:00:00;Бирмингем C;Хаддерсфилд Т;2.45;3.2;3.0
2020-07-01;20:00:00;Ноттингем Форест;Бристоль С;2.05;3.4;3.7
2020-07-01;21:45:00;Шеффилд Уэнсдей;Вест Бромвич;3.9;3.4;2.0
2020-07-02;19:00:00;Халл С;Мидлсбро;3.4;3.3;2.2
Футбол. Испания. Сегунда
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-06-30;20:30:00;Тенерифе;Депортиво Ла-Корунья;2.2;3.15;3.55
2020-06-30;22:45:00;Эльче;Кадис;3.05;3.05;2.5
2020-07-01;20:30:00;Альмерия;Спортинг Хихон;2.25;3.2;3.35
2020-07-01;20:30:00;Луго;Нумансия;2.6;3.05;2.9
2020-07-01;20:30:00;Овьедо;Мирандес;2.05;3.25;3.85
2020-07-01;22:45:00;Эстремадура;Расинг Сантандер;2.05;3.15;4.0
2020-07-01;22:45:00;Понферрадина;Фуэнлабрада;2.2;3.05;3.65
2020-07-02;20:30:00;Альбасете;Алькоркон;2.5;3.0;3.1
2020-07-02;20:30:00;Уэска;Лас-Пальмас;1.9;3.4;4.2
2020-07-02;22:45:00;Райо Вальекано;Малага;2.3;3.15;3.3
2020-07-03;20:30:00;Жирона;Сарагоса;2.15;3.35;3.4
Футбол. Англия. 1-я лига. Плей-офф. 1/2 финала. Первые матчи
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-07-03;19:30:00;Портсмут;Оксфорд Юн;2.05;3.5;3.3
2020-07-03;21:30:00;Флитвуд Т;Уикомб Уондерерс;2.05;3.4;3.4
Футбол. Германия. 3-я лига
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-07-01;20:00:00;Бавария-2;Дуйсбург;1.95;3.5;3.6
2020-07-01;20:00:00;Айнтрахт Брауншвейг;Вальдхоф Мангейм;1.6;3.85;5.2
2020-07-01;20:00:00;Ингольштадт;Магдебург;1.7;3.75;4.4
2020-07-01;20:00:00;Виктория Кельн;Вюрцбург Киккерс;7.0;4.5;1.4
2020-07-01;20:00:00;Цвиккау;Хемниц;2.2;3.4;3.05
2020-07-01;20:00:00;Галлешер;Кайзерслаутерн;1.65;3.8;4.7
2020-07-01;20:00:00;Ганза Росток;Юрдинген;1.4;4.4;7.0
2020-07-01;20:00:00;Пройссен Мюнстер;Меппен;1.83;3.55;4.0
